Timestamp,Value
2024-10-01T17:24:00Z,0.6693695
2024-10-01T18:00:00Z,0.027551938
2024-10-01T18:36:00Z,0.029779281
2024-10-01T19:12:00Z,0.5898092
2024-10-01T21:36:00Z,0.4474338
2024-10-01T22:12:00Z,0.070445575
2024-10-01T22:48:00Z,0.8850077
2024-10-01T23:24:00Z,0
2024-10-02T00:36:00Z,0.45436528
2024-10-02T01:12:00Z,0.30912828
2024-10-02T01:48:00Z,0.9924096
2024-10-02T02:24:00Z,0
2024-10-02T03:36:00Z,0.09192124
2024-10-02T04:12:00Z,0.6784412
2024-10-02T05:24:00Z,0.3268601
2024-10-02T06:00:00Z,0.9767921
2024-10-02T06:36:00Z,0
2024-10-02T07:12:00Z,0.6532231
2024-10-02T08:24:00Z,0.19508418
2024-10-02T09:00:00Z,0.8933749
2024-10-02T09:36:00Z,0
2024-10-02T10:12:00Z,0.8175374
2024-10-02T10:48:00Z,0
2024-10-02T11:24:00Z,0.12826876
2024-10-02T12:00:00Z,0.93480074
2024-10-02T12:36:00Z,0
2024-10-02T14:24:00Z,0.97127867
2024-10-02T15:00:00Z,0
2024-10-02T15:36:00Z,0.56166965
2024-10-02T16:48:00Z,0.85122746
2024-10-02T17:24:00Z,0
2024-10-02T18:36:00Z,0.9180933
2024-10-02T19:12:00Z,0
2024-10-02T19:48:00Z,0.7204977
2024-10-02T21:00:00Z,0.4143193
2024-10-02T21:36:00Z,0.8782603
2024-10-02T22:12:00Z,0
2024-10-02T22:48:00Z,0.4620949
2024-10-02T23:24:00Z,0.1896135
2024-10-03T00:00:00Z,0.721433
2024-10-03T01:12:00Z,0.8031553
2024-10-03T01:48:00Z,0
2024-10-03T03:00:00Z,0.7436405
2024-10-03T03:36:00Z,0.16972353
2024-10-03T04:48:00Z,0.9666189
2024-10-03T05:24:00Z,0
2024-10-03T06:00:00Z,0.40589622
2024-10-03T09:36:00Z,0.033198442
2024-10-03T10:12:00Z,0.7974541
2024-10-03T10:48:00Z,0
2024-10-03T12:36:00Z,0.52048147
2024-10-03T13:48:00Z,0.24619715
2024-10-03T15:00:00Z,0.52799326
2024-10-03T16:12:00Z,0.35152158
2024-10-03T16:48:00Z,0.614614
2024-10-03T17:24:00Z,0.10758698
2024-10-03T18:00:00Z,0.4886274
2024-10-03T19:12:00Z,0.045364432
2024-10-03T19:48:00Z,0.3441675
2024-10-03T20:24:00Z,0.15069716
2024-10-03T21:00:00Z,0.45683226
2024-10-03T22:12:00Z,0.45999342
2024-10-03T22:48:00Z,0.0699065
2024-10-03T23:24:00Z,0.52453434
2024-10-04T00:00:00Z,0.50150514
2024-10-04T00:36:00Z,0.0579674
2024-10-04T01:12:00Z,0.7807511
2024-10-04T01:48:00Z,0
2024-10-04T03:00:00Z,0.61784434
2024-10-04T04:12:00Z,0.7770404
2024-10-04T04:48:00Z,0
2024-10-04T05:24:00Z,0.87588567
2024-10-04T06:00:00Z,0
2024-10-04T07:48:00Z,0.82371473
2024-10-04T08:24:00Z,0
2024-10-04T09:00:00Z,0.91277295
2024-10-04T09:36:00Z,0
2024-10-04T10:48:00Z,0.78620374
2024-10-04T11:24:00Z,0
2024-10-04T12:00:00Z,0.46114188
2024-10-04T13:12:00Z,0.02904225
2024-10-04T14:24:00Z,0.9379195
2024-10-04T15:00:00Z,0
2024-10-04T16:12:00Z,0.8710147
2024-10-04T16:48:00Z,0
2024-10-04T17:24:00Z,0.22245611
2024-10-04T18:00:00Z,0.88442796
2024-10-04T18:36:00Z,0
2024-10-04T19:12:00Z,0.94352746
2024-10-04T19:48:00Z,0
2024-10-04T20:24:00Z,0.74207014
2024-10-04T21:36:00Z,0.33304268
2024-10-04T22:48:00Z,0.24047972
2024-10-04T23:24:00Z,0.8377103
2024-10-05T00:00:00Z,0
2024-10-05T00:36:00Z,0.07760012
2024-10-05T01:12:00Z,0.7984122
2024-10-05T01:48:00Z,0
2024-10-05T02:24:00Z,0.96609175
2024-10-05T03:00:00Z,0
2024-10-05T03:36:00Z,0.043244097
2024-10-05T04:12:00Z,0.66915834
2024-10-05T04:48:00Z,0.20371
2024-10-05T06:36:00Z,0.83378434
2024-10-05T07:12:00Z,0
2024-10-05T07:48:00Z,0.934218
2024-10-05T08:24:00Z,0
2024-10-05T09:00:00Z,0.7287904
2024-10-05T09:36:00Z,0.8488607
2024-10-05T10:12:00Z,0
2024-10-05T10:48:00Z,0.8025665
2024-10-05T11:24:00Z,0
2024-10-05T12:00:00Z,0.69913536
